id	filename	md5	size	state
0427d696-a33d-4005-ac1d-c5363754226e	0427d696-a33d-4005-ac1d-c5363754226e/b1becd71-bbed-4a0f-af9c-94b9b2af928b.rna_seq.augmented_star_gene_counts.tsv	c546a2b8c19a66f0be4fa2eb8cae7a10	4236831	validated
10ac475b-ebab-4164-abd5-0c53bdf5c558	10ac475b-ebab-4164-abd5-0c53bdf5c558/422d5778-bfe0-4e2f-b254-2a753c777686.rna_seq.augmented_star_gene_counts.tsv	f1281384f4bdcf00e1ded32755e9983f	4225404	validated
1db84a0e-7ed1-423a-918e-23ac556360df	1db84a0e-7ed1-423a-918e-23ac556360df/45950878-b6ec-4fcd-b4d4-fb7f6cde5a63.rna_seq.augmented_star_gene_counts.tsv	ba9f2622be5d3c62a6424dc796d5551e	4245953	validated
1ee06261-6298-41fa-a253-145d457772e1	1ee06261-6298-41fa-a253-145d457772e1/809e643c-4d9a-49e9-b158-35104ae7187f.rna_seq.augmented_star_gene_counts.tsv	cd269049b869da37a942a51050084f9d	4238686	validated
1f4a9a3f-ceff-4065-93c6-7f59f24c8ddf	1f4a9a3f-ceff-4065-93c6-7f59f24c8ddf/aac3107c-0c3c-4912-92bc-dfe53fbbac9e.rna_seq.augmented_star_gene_counts.tsv	4c011d356a22f77a023479e925c171b0	4252853	validated
207a5cf3-061a-4766-b857-99b807de2649	207a5cf3-061a-4766-b857-99b807de2649/7f718fea-427e-49d8-bf98-6b18439e093e.rna_seq.augmented_star_gene_counts.tsv	3d028579b8fa9eef4469255846a91a6c	4227286	validated
21e42b51-03fd-4ca7-bd14-7fa4a90d15a1	21e42b51-03fd-4ca7-bd14-7fa4a90d15a1/927948e6-ee98-4efc-a1b9-8c066a576bd3.rna_seq.augmented_star_gene_counts.tsv	0ef6cfc251b5f8793b15834a21c5115a	4247264	validated
2354013f-1b41-4e7b-8756-5697fa8757fd	2354013f-1b41-4e7b-8756-5697fa8757fd/267d31a0-a45b-4404-88c4-fe6a0f11aa3a.rna_seq.augmented_star_gene_counts.tsv	eb79f3f64ab7ed61aec959996d7c0531	4242607	validated
29d3f44a-ce3c-4162-9c5b-c62eff90bd91	29d3f44a-ce3c-4162-9c5b-c62eff90bd91/673ef155-1bba-466d-92b4-cecb4121946e.rna_seq.augmented_star_gene_counts.tsv	2866fa7ad90a92c2de6c6840dd38cb6c	4242812	validated
2f6ca933-3daf-41dc-9403-880fa45ef36c	2f6ca933-3daf-41dc-9403-880fa45ef36c/60028d9d-c8e5-4c4e-a75c-cc3df6f2eea1.rna_seq.augmented_star_gene_counts.tsv	1aebed103d330727337c1706fea80ca5	4245140	validated
3a643e32-8ece-4e7f-93a0-9fab9c33ddd3	3a643e32-8ece-4e7f-93a0-9fab9c33ddd3/53cba562-6d13-4c88-b13d-39a2a600fc2e.rna_seq.augmented_star_gene_counts.tsv	880bf003b0b87f8bb74e8b2bfd433933	4241695	validated
418d89ca-5818-48b5-8aae-9346dd96af2d	418d89ca-5818-48b5-8aae-9346dd96af2d/1c6e4a49-5f6a-4987-b79e-ebef96ba4cee.rna_seq.augmented_star_gene_counts.tsv	f461fc0c2b67c3d48c647cdd45907a5c	4249594	validated
45dfb0ee-7d53-4bd8-b1d0-4a0a3275e4b5	45dfb0ee-7d53-4bd8-b1d0-4a0a3275e4b5/64dc3324-0550-432b-8237-cee3ca6aa392.rna_seq.augmented_star_gene_counts.tsv	47a5d3c279705b52e74298050dbdc65d	4231160	validated
508f82a6-c6c1-4452-851c-2e77f4799601	508f82a6-c6c1-4452-851c-2e77f4799601/56145606-4305-4b32-a357-00d3f852dd0a.rna_seq.augmented_star_gene_counts.tsv	48342b5638a16d20b783ba22dc9d09ad	4236564	validated
509fc559-6750-46e0-881d-71a4a313d270	509fc559-6750-46e0-881d-71a4a313d270/2cacbe10-481e-42d7-8b01-5ad9537ed2c1.rna_seq.augmented_star_gene_counts.tsv	639bb6ea7bf4a733407599ccb125c4e3	4233883	validated
5190374f-ea8a-43a3-b443-79fac4506a48	5190374f-ea8a-43a3-b443-79fac4506a48/79ce3814-2843-44c3-9abb-ec353ecc4f01.rna_seq.augmented_star_gene_counts.tsv	23f4e361a6c4c61f7837a0d8de3c221c	4251467	validated
